No.;Time;Comment;Scramble;Date;P.1
26;14.81;; (1,-3)/ (5,2)/ (3,0)/ (4,-5)/ (0,-3)/ (-4,0)/ (3,0)/ (-5,0)/ (-4,0)/ (4,-3)/ (-4,0)/ (-5,0)/;2026-01-01 14:52:40;14.81
27;13.60;; (3,2)/ (1,4)/ (0,-3)/ (-3,0)/ (5,-1)/ (4,-3)/ (-3,-3)/ (3,0)/ (2,0)/ (4,0)/ (2,-3);2026-01-01 14:53:07;13.60
28;9.61;CSP; (4,3)/ (0,3)/ (-3,0)/ (5,-4)/ (3,-3)/ (3,-5)/ (3,0)/ (1,0)/ (-4,0)/ (-4,0)/ (-3,0)/ (4,-4)/ (4,0)/;2026-01-01 14:54:00;9.61
29;15.10;; (0,2)/ (0,3)/ (1,4)/ (-4,-1)/ (1,-5)/ (0,-1)/ (0,-3)/ (-1,-3)/ (-5,0)/ (-4,0)/ (0,-5)/ (-4,0)/ (2,-4);2026-01-01 14:54:35;15.10
30;21.06;; (1,0)/ (2,-1)/ (-2,-5)/ (3,0)/ (6,0)/ (-3,-3)/ (0,-1)/ (3,0)/ (0,-5)/ (0,-4)/ (4,-3)/ (5,-2)/ (6,-1);2026-01-01 14:55:07;21.06
31;11.90;; (-2,-3)/ (0,3)/ (-4,-4)/ (-3,0)/ (6,0)/ (-3,0)/ (0,-5)/ (6,-3)/ (-4,-5)/ (-2,-3)/ (3,0)/ (6,-5)/ (-2,0);2026-01-01 14:55:46;11.90
32;12.10;; (0,2)/ (0,-3)/ (1,1)/ (0,-3)/ (-3,0)/ (2,-1)/ (0,-5)/ (-3,0)/ (0,-1)/ (0,-5)/ (-3,-4)/ (-1,0)/ (3,-2)/ (3,0);2026-01-01 14:56:13;12.10
33;17.04;; (3,2)/ (0,3)/ (0,-3)/ (-2,-2)/ (-3,0)/ (2,-1)/ (0,-5)/ (0,-3)/ (3,0)/ (-1,0)/ (0,-5)/ (-2,-3)/ (-2,0)/;2026-01-01 14:56:38;17.04
34;13.33;; (-2,0)/ (-3,0)/ (-3,0)/ (-1,-1)/ (1,-2)/ (-3,0)/ (-3,-1)/ (-3,0)/ (0,-3)/ (-1,-3)/ (1,-4)/ (6,0)/ (-1,0);2026-01-01 14:57:11;13.33
35;13.74;; (4,-3)/ (0,3)/ (-3,0)/ (-1,-1)/ (0,-3)/ (-3,0)/ (-2,0)/ (0,-3)/ (-1,0)/ (-2,0)/ (2,0)/ (-1,0)/ (4,0)/ (1,-2)/;2026-01-01 14:57:40;13.74
36;10.86;; (0,-4)/ (-2,-2)/ (-3,0)/ (3,0)/ (5,-4)/ (4,-2)/ (0,-4)/ (0,-3)/ (3,-3)/ (4,-1)/ (3,-4)/ (4,-1);2026-01-01 14:58:29;10.86
37;16.44;; (1,0)/ (-1,2)/ (0,-3)/ (-2,-5)/ (2,-4)/ (6,-2)/ (3,0)/ (1,0)/ (2,0)/ (6,-4)/ (0,-4)/;2026-01-01 14:59:18;16.44
38;13.29;; (0,-1)/ (0,3)/ (3,-3)/ (4,-5)/ (6,-3)/ (-4,-3)/ (-3,0)/ (4,-1)/ (0,-2)/ (0,-4)/ (5,0)/ (2,0)/ (3,-1);2026-01-01 14:59:54;13.29
39;15.63;; (4,-3)/ (-3,0)/ (0,3)/ (-3,0)/ (-4,-1)/ (-2,-5)/ (2,0)/ (0,-3)/ (4,-1)/ (0,-4)/ (-4,-5)/ (-2,0)/ (-2,-4);2026-01-01 15:00:26;15.63
40;9.68;; (-3,5)/ (3,0)/ (3,0)/ (0,-3)/ (-5,-5)/ (3,0)/ (6,-1)/ (-3,-3)/ (0,-4)/ (1,0)/ (6,0)/ (-5,0)/ (-1,0);2026-01-01 15:00:58;9.68
41;13.48;; (3,5)/ (-2,1)/ (3,0)/ (-4,-1)/ (1,-5)/ (2,-3)/ (-3,-3)/ (-3,0)/ (-5,0)/ (5,-1)/ (-5,0);2026-01-01 15:01:25;13.48
42;23.85;; (0,-1)/ (-3,0)/ (0,3)/ (6,0)/ (1,-2)/ (2,-4)/ (3,-2)/ (-3,-3)/ (0,-1)/ (-4,0)/ (2,-5)/ (0,-5)/ (-4,0)/;2026-01-01 15:24:35;23.85
43;13.57;; (-2,-3)/ (2,-4)/ (0,-3)/ (-2,-5)/ (-1,-4)/ (-3,-2)/ (0,-3)/ (-2,-3)/ (3,-4)/ (2,0)/ (-1,0)/;2026-01-01 15:25:15;13.57
44;13.24;; (0,5)/ (3,0)/ (3,-3)/ (-2,-5)/ (0,-3)/ (3,-3)/ (0,-1)/ (0,-3)/ (6,0)/ (0,-3)/ (-1,-3)/ (0,-5)/ (-2,0)/;2026-01-01 15:25:45;13.24
45;14.46;; (-3,5)/ (-2,1)/ (3,0)/ (-1,-1)/ (0,-3)/ (4,0)/ (3,0)/ (3,0)/ (-1,-3)/ (0,-4);2026-01-01 15:26:14;14.46
46;12.71;; (1,0)/ (-3,0)/ (3,0)/ (-4,-4)/ (0,-3)/ (0,-3)/ (0,-2)/ (0,-3)/ (-2,-3)/ (-1,-2)/ (4,-2)/ (0,-4)/ (-2,-5);2026-01-01 15:26:43;12.71
